Category: All categories

Region,Ash Ketchum: (6/5/21 - 6/5/22)
Hawaii,100
California,96
Utah,88
Texas,84
Nevada,83
Delaware,82
Vermont,80
Arkansas,79
Alaska,78
Mississippi,78
Oklahoma,77
Washington,77
Arizona,75
West Virginia,74
Idaho,74
Missouri,73
Oregon,73
New Hampshire,72
Maryland,71
Virginia,71
South Dakota,71
Louisiana,70
Montana,69
North Carolina,69
Rhode Island,69
Iowa,69
Indiana,69
New Jersey,68
North Dakota,68
Kentucky,68
Kansas,68
Michigan,67
Nebraska,67
Connecticut,66
Ohio,65
Illinois,65
South Carolina,65
Massachusetts,64
Georgia,64
Pennsylvania,64
Alabama,63
New Mexico,62
Wisconsin,61
Maine,61
Tennessee,61
Minnesota,60
Florida,59
Colorado,56
New York,54
Wyoming,53
District of Columbia,51
