Category: All categories

Region,brock pokemon: (6/5/21 - 6/5/22)
California,100
District of Columbia,98
Utah,97
Washington,96
New Jersey,95
Massachusetts,91
Indiana,88
Nevada,86
Oregon,85
Kentucky,85
Florida,84
Louisiana,84
Virginia,81
Pennsylvania,77
Tennessee,74
Maryland,71
Alabama,71
North Carolina,70
Ohio,69
Michigan,69
Georgia,69
Colorado,68
New York,67
Texas,66
South Carolina,64
Illinois,63
Wisconsin,62
Missouri,60
Arizona,53
Minnesota,47
Oklahoma,46
Connecticut,38
New Hampshire,
Arkansas,
Delaware,
New Mexico,
Hawaii,
Rhode Island,
Mississippi,
Maine,
Iowa,
Idaho,
Vermont,
North Dakota,
West Virginia,
Kansas,
Nebraska,
Alaska,
South Dakota,
Montana,
Wyoming,
