Category: All categories

Region,misty pokemon: (6/5/21 - 6/5/22)
Utah,100
Washington,92
Nebraska,87
Kentucky,86
Nevada,84
Virginia,82
Colorado,79
Arizona,78
California,78
Louisiana,76
Oregon,75
Idaho,73
Arkansas,73
Kansas,72
Minnesota,70
Texas,69
Maryland,68
Indiana,67
North Carolina,67
Michigan,66
Alabama,65
Hawaii,64
Massachusetts,64
New Jersey,64
Illinois,63
Florida,63
Oklahoma,63
Mississippi,61
South Carolina,60
Pennsylvania,60
Ohio,59
Wisconsin,57
Tennessee,56
New York,55
Missouri,55
Iowa,52
New Mexico,52
Connecticut,50
Georgia,41
District of Columbia,30
Wyoming,
Vermont,
Alaska,
South Dakota,
Montana,
West Virginia,
Rhode Island,
Maine,
Delaware,
New Hampshire,
North Dakota,
