Category: All categories

Region,pokemon: (6/5/21 - 6/5/22)
Hawaii,100
Utah,99
Washington,91
West Virginia,88
Idaho,88
Oregon,88
Alaska,87
Indiana,86
Kentucky,85
Maine,84
New Hampshire,84
Minnesota,83
Rhode Island,82
North Dakota,81
Iowa,80
Michigan,80
Nevada,79
California,79
Ohio,79
Missouri,78
Arizona,78
Oklahoma,77
Virginia,77
Wisconsin,77
Kansas,77
Pennsylvania,76
Arkansas,75
Delaware,73
Nebraska,72
Massachusetts,72
Colorado,71
Texas,71
Connecticut,71
Maryland,70
South Dakota,70
North Carolina,70
New Mexico,70
Illinois,70
Vermont,69
Florida,68
New Jersey,68
Tennessee,67
Montana,67
South Carolina,65
New York,62
Alabama,60
Georgia,60
Louisiana,58
Wyoming,56
Mississippi,56
District of Columbia,44
